,Title,Awards,Award_wins,Award_nominated,oscar_nominated,Oscar_Won,Golden_Globe_nominated,Golden_Globe_Won,Primetime_Emmy_nominated,Primetime_Emmys_Won,BAFTA_Film_nominated,BAFTA_Film_won
274,Outside Looking In: Transracial Adoption in America,nan,0,0,0,0,0,0,0,0,0,0
275,All Request Hour,nan,0,0,0,0,0,0,0,0,0,0
276,Anton - min hemmelige ven II,nan,0,0,0,0,0,0,0,0,0,0
277,Anton - min hemmelige ven,nan,0,0,0,0,0,0,0,0,0,0
278,10 Play,nan,0,0,0,0,0,0,0,0,0,0
279,Close to Home,nan,0,0,0,0,0,0,0,0,0,0
280,A tu lado,nan,0,0,0,0,0,0,0,0,0,0
281,Abierto al anochecer,nan,0,0,0,0,0,0,0,0,0,0
282,The Wedding Video,nan,0,0,0,0,0,0,0,0,0,0
283,Around the Horn,nan,0,0,0,0,0,0,0,0,0,0
284,Pride & Loyalty,nan,0,0,0,0,0,0,0,0,0,0
285,Slick City: The Adventures of Lela Devin,nan,0,0,0,0,0,0,0,0,0,0
286,Home,nan,0,0,0,0,0,0,0,0,0,0
287,100 mexicanos dijeron,nan,0,0,0,0,0,0,0,0,0,0
288,Abschnitt 40,7 wins & 7 nominations.,7,7,0,0,0,0,0,0,0,0
289,Renacer,nan,0,0,0,0,0,0,0,0,0,0
290,Al descubierto,nan,0,0,0,0,0,0,0,0,0,0
291,Al rojo vivo con María Celeste,1 nomination.,0,0,0,0,0,0,0,0,0,0
292,A Very Modern Dictator: A Profile of Slobodan Milosevic,nan,0,0,0,0,0,0,0,0,0,0
293,A Ganar con Omar,nan,0,0,0,0,0,0,0,0,0,0
294,A plena luz,nan,0,0,0,0,0,0,0,0,0,0
295,De Colores,nan,0,0,0,0,0,0,0,0,0,0
296,Q,nan,0,0,0,0,0,0,0,0,0,0
297,Achmea kennisquiz,nan,0,0,0,0,0,0,0,0,0,0
298,Andy Pandy: Andy Pandy's Band,nan,0,0,0,0,0,0,0,0,0,0
299,Round Up: Deposing 'The Usual Suspects',nan,0,0,0,0,0,0,0,0,0,0
300,Las dos caras del señor,nan,0,0,0,0,0,0,0,0,0,0
301,The Rolling Stones: Just for the Record,nan,0,0,0,0,0,0,0,0,0,0
302,Aalippazham,nan,0,0,0,0,0,0,0,0,0,0
303,An American Dream,nan,0,0,0,0,0,0,0,0,0,0
304,A Personal Story,nan,0,0,0,0,0,0,0,0,0,0
305,Happy Holidays: The Best of the Andy Williams Christmas Specials,nan,0,0,0,0,0,0,0,0,0,0
306,99 Things to Do Before You Die,nan,0,0,0,0,0,0,0,0,0,0
307,6000 a Day: An Account of a Catastrophe Foretold,nan,0,0,0,0,0,0,0,0,0,0
308,Xingu: Land of No Shame,nan,0,0,0,0,0,0,0,0,0,0
309,Baaje Payal,nan,0,0,0,0,0,0,0,0,0,0
310,Pure Imagination: The Story of 'Willy Wonka and the Chocolate Factory',nan,0,0,0,0,0,0,0,0,0,0
311,Awaaz,nan,0,0,0,0,0,0,0,0,0,0
312,Agneepath,nan,0,0,0,0,0,0,0,0,0,0
313,Comic Remix,nan,0,0,0,0,0,0,0,0,0,0
314,Ai nante iranê yo; natsu,nan,0,0,0,0,0,0,0,0,0,0
315,3K Check In,nan,0,0,0,0,0,0,0,0,0,0
316,Akvariumas,nan,0,0,0,0,0,0,0,0,0,0
317,Angling Unlimited,nan,0,0,0,0,0,0,0,0,0,0
318,Babelstårnet 2001,nan,0,0,0,0,0,0,0,0,0,0
319,A Minha Familia É Uma Animação,nan,0,0,0,0,0,0,0,0,0,0
